HMM	soft_bitscore_cutoff
AsbE_petrobactin_synthesis-rep	147.6
Cyc1	98
Cyc2_repCluster1	31.5
Cyc2_repCluster2	27.8
Cyc2_repCluster3	27.3
CymA	237
DhbA-bacillibactin_synthesis_fam1-rep	240.5
DhbB-bacillin_synthesis_fam1-rep	196.1
DhbC-bacillin_synthesis_fam1-rep	376.9
DhbE-bacillin_synthesis-rep	467.8
DhbF-bacillin_synthesis_fam1-rep	1091.9
EfeB	185.4
EfoO-Iron_uptake	31.7
FbpA-iron_binding_and_transport-rep	80.1
FbpB-iron_permease_fam1-rep	118
FbpB-iron_permease_fam2-rep	88.4
FbpC-iron_uptake_ATPase-rep	360.3
FecB-iron_ABC_transporter_periplasmic-rep	174.6
FecE-iron_ABC_transporter_ATP-binding-rep	200.1
FeuB-bacillibactin_import-rep	151.8
FhuB-iron_ABC_transporter_periplasmic-rep	228.1
FoxA	128
FoxB	66
FoxC	62
FoxE	37
FoxY	124
FoxZ	150
FpuC_Petrobactin_import_ABC_transporters_ATPase-rep	269.5
FpuCD_Petrobactin_import_ABC_transporters_ATPase-rep	269.5
FpvK-sid_Pyoverdine_uptake-rep	25.6
FutA1-iron_ABC_transporter_iron-binding-rep	112
FutA2-iron_ABC_transporter_iron-binding-rep	115
FutC-iron_ABC_transporter_ATPase-rep	376
HasB-TonB_paralog_heme_uptake-rep	75
HmuR-TonB_dependent_heme_receptor-rep	50
HmuV-Hemin_ABC_transporter_ATPase-rep	220
HugZ-heme_oxygenase-rep	192
HutZ-heme_storage-rep	227
IroC-salmochelin_transport-rep	454
IroD-enterochelin_esterase-rep	99.7
IsdG-heme-oxygenase_fam1-rep	102
IsdG-heme-oxygenase_fam2-rep	101.8
IsdG-heme-oxygenase_fam3-rep	647.7
IsdI-heme-oxygenase-rep	77
LbtU_legiobactin_uptake_fam1-MFS-rep	21.3
LbtU_legiobactin_uptake_fam2-MFS-rep	25
LbtU_legiobactin_uptake_fam3-MFS-rep	21
MamA	119
MamB	273.9
MamC	101.6
MamD	46.7
MamE	170.5
MamF	72.2
MamG	79.6
MamJ	47.2
MamK	108.9
MamM	207
MamP	105.2
MamW	167
MamX	318
MamY	366
MtoA	140
MtrA	140
MtrB_TIGR03509	240.05
MtrC_TIGR03507	209.3
OmcF	83.7
OmcS	78.2
OmcZ	76.9
PF00210-Ferritin_like_domain	44
PF00593-TonB_dependent_receptor	75.3
PF01032-FecCD_transport_family	25.8
PF01325-Iron_dependent_repressor-dtxR_family_N	40.1
PF01475-Iron_dependent_repressor-fur_family	23.8
PF01618-MotA_TolQ_ExbB_proton_channel_family	22.3
PF02421-FeoB_N	120.4
PF02472-ExbD	32.7
PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain	20.7
PF03239-Iron_permease_FTR1_EfeU_Fip1_family	24.9
PF04023-FeoA	40
PF04183-IucA_IucC_family_N	26.3
PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN	47.4
PF06276-Ferric_iron_reductase_FhuF_like_transporter	25.2
PF06438-Heme_binding_protein_A-HasA	42.4
PF07664-FeoB_C	27.1
PF07670_sub-FeoB_gate	28
PF07670-FeoB_gate_nucleoside_recognition	52
PF07715_sub-TonB_dependent_siderophore_receptor-plug	21.1
PF09012_sub-FeoC_like_transcriptional_regulator	20.9
PF14064-HmuY_heme_binding	31.8
PirA-siderophore_receptor-rep	317
PiuA-siderophore_receptor-rep	101
PvdD_pyoverdine_biosynthesis-rep	430
PvdJ_pyoverdine_biosynthesis-rep	270
PvdL_pyoverdine_biosynthesis-rep	272
PvdQ_pyoverdine_biosynthesis-rep	480
sulfocyanin	45.4
PvsA_vibrioferrin_biosynthesis-rep	62
PvsB_vibrioferrin_biosynthesis-rep	17.5
PvsC_vibrioferrin_biosynthesis-rep	35
PvsD_vibrioferrin_biosynthesis-rep	17.5
PvsE_vibrioferrin_biosynthesis-rep	85
PvuB_vibrioferrin_transport-rep	150
PvuC_vibrioferrin_transport-rep	18.3
PvuD_vibrioferrin_transport-rep	18.3
PvuE_vibrioferrin_transport-rep	350
Siderophore_ABC_transport-rep	172
VabA_Vanchrobactin_biosynthesis-rep	235
VabB_Vanchrobactin_biosynthesis-rep	75
VabC_Vanchrobactin_biosynthesis-rep	161
VabE_Vanchrobactin_biosynthesis-rep	10000
VabE_Vanchrobactin_biosynthesis-rep	10000
VabG_Vanchrobactin_biosynthesis-rep	245
